id,class
1,neg
2,neg
3,neg
4,neg
5,neg
6,neg
7,neg
8,neg
9,neg
10,neg
11,neg
12,neg
13,neg
14,neg
15,neg
16,neg
17,neg
18,neg
19,neg
20,neg
21,neg
22,neg
23,neg
24,neg
25,neg
26,neg
27,neg
28,neg
29,neg
30,neg
31,neg
32,neg
33,neg
34,neg
35,neg
36,neg
37,neg
38,neg
39,neg
40,neg
41,neg
42,neg
43,neg
44,neg
45,neg
46,neg
47,neg
48,neg
49,neg
50,neg
51,neg
52,neg
53,neg
54,neg
55,neg
56,neg
57,neg
58,neg
59,neg
60,neg
61,neg
62,neg
63,neg
64,neg
65,neg
66,neg
67,neg
68,neg
69,neg
70,neg
71,neg
72,neg
73,neg
74,neg
75,neg
76,neg
77,neg
78,neg
79,neg
80,neg
81,neg
82,neg
83,neg
84,neg
85,neg
86,neg
87,neg
88,neg
89,neg
90,neg
91,neg
92,neg
93,pos
94,neg
95,neg
96,neg
97,neg
98,neg
99,neg
100,neg
101,neg
102,neg
103,neg
104,neg
105,neg
106,neg
107,neg
108,neg
109,neg
110,neg
111,neg
112,neg
113,neg
114,neg
115,neg
116,neg
117,neg
118,neg
119,neg
120,neg
121,neg
122,neg
123,neg
124,neg
125,neg
126,neg
127,neg
128,neg
129,neg
130,neg
131,neg
132,neg
133,neg
134,neg
135,neg
136,neg
137,neg
138,neg
139,neg
140,neg
141,neg
142,neg
143,neg
144,neg
145,neg
146,neg
147,neg
148,neg
149,neg
150,neg
151,neg
152,neg
153,neg
154,neg
155,neg
156,neg
157,neg
158,neg
159,neg
160,neg
161,neg
162,neg
163,neg
164,neg
165,neg
166,neg
167,neg
168,neg
169,neg
170,neg
171,neg
172,neg
173,neg
174,neg
175,neg
176,neg
177,neg
178,neg
179,neg
180,neg
181,neg
182,neg
183,neg
184,neg
185,neg
186,neg
187,neg
188,neg
189,neg
190,neg
191,neg
192,neg
193,neg
194,neg
195,neg
196,neg
197,neg
198,neg
199,neg
200,neg
201,neg
202,neg
203,neg
204,neg
205,neg
206,neg
207,neg
208,neg
209,neg
210,neg
211,neg
212,neg
213,neg
214,neg
215,neg
216,neg
217,neg
218,pos
219,neg
